index	tokens	token	true_label	predicted_label
1	['Does', 'the', 'new', 'deal', 'include', 'Video', 'on', 'demand', 'and', 'High', 'Definition', '?', 'Currently', 'there', 'is', 'no', 'indication', 'as', 'to', 'whether', 'the', 'new', 'deal', 'includes', 'the', 'additional', 'Video', 'On', 'Demand', 'and', 'High', 'Definition', 'content', 'which', 'had', 'previously', 'been', 'offered', 'by', 'BSkyB']	Currently	O	B-focus
1	['Does', 'the', 'new', 'deal', 'include', 'Video', 'on', 'demand', 'and', 'High', 'Definition', '?', 'Currently', 'there', 'is', 'no', 'indication', 'as', 'to', 'whether', 'the', 'new', 'deal', 'includes', 'the', 'additional', 'Video', 'On', 'Demand', 'and', 'High', 'Definition', 'content', 'which', 'had', 'previously', 'been', 'offered', 'by', 'BSkyB']	no	B-focus	I-focus
1	['Does', 'the', 'new', 'deal', 'include', 'Video', 'on', 'demand', 'and', 'High', 'Definition', '?', 'Currently', 'there', 'is', 'no', 'indication', 'as', 'to', 'whether', 'the', 'new', 'deal', 'includes', 'the', 'additional', 'Video', 'On', 'Demand', 'and', 'High', 'Definition', 'content', 'which', 'had', 'previously', 'been', 'offered', 'by', 'BSkyB']	indication	O	I-focus
1	['Does', 'the', 'new', 'deal', 'include', 'Video', 'on', 'demand', 'and', 'High', 'Definition', '?', 'Currently', 'there', 'is', 'no', 'indication', 'as', 'to', 'whether', 'the', 'new', 'deal', 'includes', 'the', 'additional', 'Video', 'On', 'Demand', 'and', 'High', 'Definition', 'content', 'which', 'had', 'previously', 'been', 'offered', 'by', 'BSkyB']	as	O	I-focus
1	['Does', 'the', 'new', 'deal', 'include', 'Video', 'on', 'demand', 'and', 'High', 'Definition', '?', 'Currently', 'there', 'is', 'no', 'indication', 'as', 'to', 'whether', 'the', 'new', 'deal', 'includes', 'the', 'additional', 'Video', 'On', 'Demand', 'and', 'High', 'Definition', 'content', 'which', 'had', 'previously', 'been', 'offered', 'by', 'BSkyB']	to	O	I-focus
1	['Does', 'the', 'new', 'deal', 'include', 'Video', 'on', 'demand', 'and', 'High', 'Definition', '?', 'Currently', 'there', 'is', 'no', 'indication', 'as', 'to', 'whether', 'the', 'new', 'deal', 'includes', 'the', 'additional', 'Video', 'On', 'Demand', 'and', 'High', 'Definition', 'content', 'which', 'had', 'previously', 'been', 'offered', 'by', 'BSkyB']	whether	O	I-focus
3	['Where', 'is', 'the', 'Hyde', 'Park', 'Day', 'School', 'located', '?', 'In', 'addition', ',', 'the', 'Hyde', 'Park', 'Day', 'School', ',', 'a', 'school', 'for', 'students', 'with', 'learning', 'disabilities', ',', 'maintains', 'a', 'location', 'on', 'the', 'University', 'of', 'Chicago', 'campus']	the	B-focus	O
3	['Where', 'is', 'the', 'Hyde', 'Park', 'Day', 'School', 'located', '?', 'In', 'addition', ',', 'the', 'Hyde', 'Park', 'Day', 'School', ',', 'a', 'school', 'for', 'students', 'with', 'learning', 'disabilities', ',', 'maintains', 'a', 'location', 'on', 'the', 'University', 'of', 'Chicago', 'campus']	University	I-focus	B-focus
5	"['For', 'how', 'many', 'years', 'was', 'evidence', 'shown', 'that', 'humans', 'shaped', 'the', 'the', 'Amazon', '?', 'The', 'BBC', ""'s"", 'Unnatural', 'Histories', 'presented', 'evidence', 'that', 'the', 'Amazon', 'rainforest', ',', 'rather', 'than', 'being', 'a', 'pristine', 'wilderness', ',', 'has', 'been', 'shaped', 'by', 'man', 'for', 'at', 'least', '11,000', 'years', 'through', 'practices', 'such', 'as', 'forest', 'gardening', 'and', 'terra', 'preta']"	at	O	B-focus
5	"['For', 'how', 'many', 'years', 'was', 'evidence', 'shown', 'that', 'humans', 'shaped', 'the', 'the', 'Amazon', '?', 'The', 'BBC', ""'s"", 'Unnatural', 'Histories', 'presented', 'evidence', 'that', 'the', 'Amazon', 'rainforest', ',', 'rather', 'than', 'being', 'a', 'pristine', 'wilderness', ',', 'has', 'been', 'shaped', 'by', 'man', 'for', 'at', 'least', '11,000', 'years', 'through', 'practices', 'such', 'as', 'forest', 'gardening', 'and', 'terra', 'preta']"	years	I-focus	O
8	['What', 'register', 'did', 'Chris', 'Keates', 'think', 'that', 'some', 'teachers', 'should', 'not', 'be', 'placed', 'on', '?', 'Chris', 'Keates', ',', 'the', 'general', 'secretary', 'of', 'National', 'Association', 'of', 'Schoolmasters', 'Union', 'of', 'Women', 'Teachers', ',', 'said', 'that', 'teachers', 'who', 'have', 'sex', 'with', 'pupils', 'over', 'the', 'age', 'of', 'consent', 'should', 'not', 'be', 'placed', 'on', 'the', 'sex', 'offenders', 'register', 'and', 'that', 'prosecution', 'for', 'statutory', 'rape', '``', 'is', 'a', 'real', 'anomaly', 'in', 'the', 'law', 'that', 'we', 'are', 'concerned', 'about']	the	B-focus	O
8	['What', 'register', 'did', 'Chris', 'Keates', 'think', 'that', 'some', 'teachers', 'should', 'not', 'be', 'placed', 'on', '?', 'Chris', 'Keates', ',', 'the', 'general', 'secretary', 'of', 'National', 'Association', 'of', 'Schoolmasters', 'Union', 'of', 'Women', 'Teachers', ',', 'said', 'that', 'teachers', 'who', 'have', 'sex', 'with', 'pupils', 'over', 'the', 'age', 'of', 'consent', 'should', 'not', 'be', 'placed', 'on', 'the', 'sex', 'offenders', 'register', 'and', 'that', 'prosecution', 'for', 'statutory', 'rape', '``', 'is', 'a', 'real', 'anomaly', 'in', 'the', 'law', 'that', 'we', 'are', 'concerned', 'about']	sex	I-focus	B-focus
9	"['What', 'did', 'Luther', 'say', 'would', 'allow', 'the', 'Jews', 'to', 'stay', '?', '``', 'Luther', 'said', ',', '``', 'we', 'want', 'to', 'practice', 'Christian', 'love', 'toward', 'them', 'and', 'pray', 'that', 'they', 'convert', ',', ""''"", 'but', 'also', 'that', 'they', 'are', '``', 'our', 'public', 'enemies']"	that	B-focus	O
9	"['What', 'did', 'Luther', 'say', 'would', 'allow', 'the', 'Jews', 'to', 'stay', '?', '``', 'Luther', 'said', ',', '``', 'we', 'want', 'to', 'practice', 'Christian', 'love', 'toward', 'them', 'and', 'pray', 'that', 'they', 'convert', ',', ""''"", 'but', 'also', 'that', 'they', 'are', '``', 'our', 'public', 'enemies']"	they	I-focus	O
9	"['What', 'did', 'Luther', 'say', 'would', 'allow', 'the', 'Jews', 'to', 'stay', '?', '``', 'Luther', 'said', ',', '``', 'we', 'want', 'to', 'practice', 'Christian', 'love', 'toward', 'them', 'and', 'pray', 'that', 'they', 'convert', ',', ""''"", 'but', 'also', 'that', 'they', 'are', '``', 'our', 'public', 'enemies']"	convert	I-focus	O
13	['How', 'did', 'Chinese', 'medicine', 'spread', '?', 'Chinese', 'physicians', 'were', 'brought', 'along', 'military', 'campaigns', 'by', 'the', 'Mongols', 'as', 'they', 'expanded', 'towards', 'the', 'west']	Chinese	B-focus	O
13	['How', 'did', 'Chinese', 'medicine', 'spread', '?', 'Chinese', 'physicians', 'were', 'brought', 'along', 'military', 'campaigns', 'by', 'the', 'Mongols', 'as', 'they', 'expanded', 'towards', 'the', 'west']	physicians	I-focus	O
13	['How', 'did', 'Chinese', 'medicine', 'spread', '?', 'Chinese', 'physicians', 'were', 'brought', 'along', 'military', 'campaigns', 'by', 'the', 'Mongols', 'as', 'they', 'expanded', 'towards', 'the', 'west']	were	I-focus	O
13	['How', 'did', 'Chinese', 'medicine', 'spread', '?', 'Chinese', 'physicians', 'were', 'brought', 'along', 'military', 'campaigns', 'by', 'the', 'Mongols', 'as', 'they', 'expanded', 'towards', 'the', 'west']	brought	I-focus	O
13	['How', 'did', 'Chinese', 'medicine', 'spread', '?', 'Chinese', 'physicians', 'were', 'brought', 'along', 'military', 'campaigns', 'by', 'the', 'Mongols', 'as', 'they', 'expanded', 'towards', 'the', 'west']	along	I-focus	O
13	['How', 'did', 'Chinese', 'medicine', 'spread', '?', 'Chinese', 'physicians', 'were', 'brought', 'along', 'military', 'campaigns', 'by', 'the', 'Mongols', 'as', 'they', 'expanded', 'towards', 'the', 'west']	military	I-focus	O
13	['How', 'did', 'Chinese', 'medicine', 'spread', '?', 'Chinese', 'physicians', 'were', 'brought', 'along', 'military', 'campaigns', 'by', 'the', 'Mongols', 'as', 'they', 'expanded', 'towards', 'the', 'west']	campaigns	I-focus	O
